lemma,abs_frequency,ipm
и,155204,36953.3
в,129323,30791.2
не,67382,16043.3
на,65375,15565.5
ты,49240,11723.8
что,48831,11626.4
быть,47293,11260.2
с,43584,10377.1
он,36833,8769.8
они,34862,8300.5
а,33381,7947.9
это,29906,7120.5
то,28018,6671
как,27091,6450.2
который,25453,6060.2
этот,24360,5800
из,23793,5665
но,23420,5576.2
к,23355,5560.7
или,21977,5232.6
свой,21484,5115.2
для,19895,4736.9
она,19749,4702.1
по,19284,4591.4
человек,18231,4340.7
от,18224,4339
мочь,18172,4326.7
у,17460,4157.1
если,17443,4153.1
весь,16605,3953.6
такой,16514,3931.9
так,15605,3715.5
все,14400,3428.6
один,14364,3420
год,14165,3372.6
же,13627,3244.5
о,13365,3182.1
себя,13231,3150.2
время,12662,3014.8
только,12363,2943.6
мы,11773,2803.1
другой,11721,2790.7
,11644,2772.4
за,11640,2771.4
твой,11064,2634.3
чтобы,11050,2631
тот,10854,2584.3
когда,10609,2526
самый,10538,2509
становиться,9930,2364.3
я,9651,2297.9
очень,9605,2286.9
до,9371,2231.2
можно,9085,2163.1
еще,8750,2083.3
его,8608,2049.5
вода,8255,1965.5
при,8104,1929.5
первый,7361,1752.6
много,7298,1737.6
жизнь,6881,1638.3
бы,6844,1629.5
даже,6834,1627.1
во,6623,1576.9
друг,6198,1475.7
уже,6165,1467.9
большой,6142,1462.4
день,5964,1420
сам,5952,1417.1
земля,5815,1384.5
каждый,5696,1356.2
вы,5618,1337.6
хорошо,5595,1332.1
вид,5516,1313.3
их,5515,1313.1
место,5513,1312.6
два,5277,1256.4
иметь,5275,1256
вот,5175,1232.1
начинать,5082,1210
знать,5062,1205.2
должный,4927,1173.1
дело,4910,1169
чем,4904,1167.6
наш,4891,1164.5
делать,4889,1164
ни,4878,1161.4
после,4840,1152.4
под,4791,1140.7
какой,4781,1138.3
кто,4778,1137.6
раз,4773,1136.4
просто,4738,1128.1
сделать,4738,1128.1
говорить,4680,1114.3
несколько,4607,1096.9
со,4572,1088.6
более,4515,1075
новый,4515,1075
ли,4485,1067.9
часть,4463,1062.6
называть,4428,1054.3
поэтому,4422,1052.9
нет,4363,1038.8
где,4318,1028.1
например,4210,1002.4
рука,4163,991.2
нужно,4149,987.9
давать,4137,985
сказать,4122,981.4
случай,4050,964.3
век,3980,947.6
через,3912,931.4
хороший,3889,926
часто,3826,911
ее,3795,903.6
слово,3699,880.7
также,3679,876
да,3672,874.3
кожа,3614,860.5
появляться,3612,860
сторона,3596,856.2
без,3540,842.9
ведь,3526,839.5
происходить,3504,834.3
жить,3487,830.2
получать,3485,829.8
животное,3467,825.5
оставаться,3451,821.7
хотеть,3422,814.8
мир,3419,814
находиться,3419,814
некоторый,3414,812.9
конечно,3395,808.3
потому,3365,801.2
растение,3346,796.7
конец,3296,784.8
всегда,3269,778.3
являться,3262,776.7
волос,3237,770.7
находить,3227,768.3
идти,3205,763.1
многий,3171,755
надо,3133,746
помощь,3110,740.5
тогда,3099,737.9
тело,3094,736.7
теперь,3060,728.6
разный,3037,723.1
тоже,3015,717.9
помогать,3009,716.4
глаз,2998,713.8
потом,2978,709
понимать,2975,708.3
образ,2964,705.7
голова,2941,700.2
любой,2922,695.7
город,2915,694
существовать,2895,689.3
работа,2883,686.4
использовать,2880,685.7
сила,2857,680.2
маленький,2856,680
между,2855,679.8
цвет,2838,675.7
видеть,2838,675.7
лицо,2821,671.7
нога,2808,668.6
именно,2791,664.5
оказываться,2750,654.8
форма,2708,644.8
однако,2678,637.6
называться,2670,635.7
считать,2669,635.5
одежда,2622,624.3
воздух,2621,624
там,2618,623.3
иногда,2602,619.5
приходиться,2548,606.7
представлять,2544,605.7
затем,2543,605.5
ничто,2505,596.4
родитель,2491,593.1
над,2444,581.9
перед,2441,581.2
лишь,2441,581.2
высокий,2438,580.5
принимать,2435,579.8
древний,2431,578.8
любить,2426,577.6
хотя,2425,577.4
здесь,2405,572.6
бывать,2388,568.6
три,2352,560
дом,2335,556
почему,2322,552.9
девочка,2304,548.6
свет,2283,543.6
ребенок,2269,540.2
об,2263,538.8
оно,2260,538.1
мало,2240,533.3
солнце,2213,526.9
внимание,2194,522.4
отношение,2194,522.4
почти,2186,520.5
пора,2178,518.6
страна,2165,515.5
совсем,2162,514.8
сейчас,2158,513.8
количество,2149,511.7
известный,2147,511.2
вместе,2141,509.8
правило,2130,507.1
различный,2110,502.4
книга,2096,499
проходить,2096,499
стиль,2095,498.8
думать,2094,498.6
быстро,2083,496
обычно,2072,493.3
пока,2063,491.2
небольшой,2053,488.8
создавать,2051,488.3
решать,2051,488.3
вопрос,2037,485
море,2037,485
организм,2011,478.8
настоящий,2011,478.8
женщина,2010,478.6
около,1993,474.5
легко,1992,474.3
приходить,1981,471.7
название,1979,471.2
огромный,1976,470.5
подходить,1969,468.8
особенно,1960,466.7
белый,1959,466.4
второй,1944,462.9
вещество,1938,461.4
способ,1928,459
стоять,1927,458.8
далеко,1926,458.6
вещь,1925,458.3
поверхность,1923,457.9
выходить,1920,457.1
вирус,1919,456.9
минута,1907,454
дерево,1906,453.8
камень,1899,452.1
специальный,1886,449
среди,1884,448.6
путь,1881,447.9
кроме,1880,447.6
взять,1880,447.6
русский,1861,443.1
следовать,1851,440.7
подруга,1844,439
нужный,1842,438.6
важный,1842,438.6
что-то,1842,438.6
стоить,1839,437.9
клетка,1836,437.1
главный,1830,435.7
птица,1829,435.5
относиться,1827,435
выбирать,1826,434.8
никогда,1825,434.5
проблема,1824,434.3
получаться,1822,433.8
начало,1820,433.3
возникать,1814,431.9
любовь,1804,429.5
имя,1799,428.3
т,1794,427.1
крупный,1781,424
никто,1781,424
основной,1776,422.9
мальчик,1775,422.6
увидеть,1775,422.6
простой,1773,422.1
история,1768,421
сразу,1763,419.8
пища,1757,418.3
состоять,1756,418.1
час,1747,416
движение,1745,415.5
ну,1744,415.2
великий,1743,415
смочь,1726,411
цветок,1721,409.8
совершенно,1714,408.1
тысяча,1712,407.6
попадать,1710,407.1
результат,1706,406.2
длинный,1706,406.2
узнавать,1703,405.5
какой-то,1702,405.2
гора,1700,404.8
ученый,1697,404
взрослый,1691,402.6
ткань,1676,399
рассказывать,1675,398.8
современный,1671,397.9
подобный,1663,396
ситуация,1658,394.8
лист,1648,392.4
особый,1642,391
красивый,1636,389.5
школа,1635,389.3
забывать,1628,387.6
последний,1628,387.6
мама,1625,386.9
течение,1622,386.2
немного,1618,385.2
причина,1618,385.2
общий,1612,383.8
чувство,1609,383.1
вести,1604,381.9
заниматься,1604,381.9
слишком,1589,378.3
черный,1583,376.9
группа,1582,376.7
вызывать,1579,376
скоро,1577,375.5
замечать,1564,372.4
выглядеть,1563,372.1
вокруг,1561,371.7
работать,1554,370
позволять,1554,370
достигать,1551,369.3
казаться,1550,369
девушка,1547,368.3
морской,1529,364
система,1516,361
остров,1516,361
красный,1513,360.2
тип,1510,359.5
предмет,1508,359
уж,1503,357.9
бог,1495,356
тут,1493,355.5
вообще,1486,353.8
размер,1485,353.6
назад,1485,353.6
яйцо,1480,352.4
считаться,1479,352.1
собственный,1478,351.9
начинаться,1474,351
большинство,1474,351
похожий,1462,348.1
проводить,1461,347.9
качество,1461,347.9
составлять,1458,347.1
достаточно,1456,346.7
пользоваться,1456,346.7
сильный,1451,345.5
встречаться,1444,343.8
определенный,1440,342.9
язык,1431,340.7
метр,1430,340.5
показывать,1425,339.3
носить,1419,337.9
длина,1411,336
открывать,1406,334.8
река,1405,334.5
прежде,1404,334.3
природа,1398,332.9
игра,1396,332.4
пойти,1395,332.1
обязательно,1394,331.9
число,1394,331.9
значит,1394,331.9
мой,1386,330
полный,1384,329.5
стол,1376,327.6
отвечать,1375,327.4
берег,1373,326.9
нельзя,1373,326.9
полагать,1360,323.8
средство,1355,322.6
г,1349,321.2
слой,1349,321.2
м,1348,321
правда,1346,320.5
высота,1344,320
сначала,1342,319.5
способный,1341,319.3
возраст,1328,316.2
россия,1328,316.2
стараться,1323,315
смотреть,1323,315
тонкий,1321,314.5
рано,1321,314.5
температура,1317,313.6
рыба,1312,312.4
возможность,1310,311.9
ветер,1310,311.9
довольно,1299,309.3
старый,1297,308.8
молодой,1297,308.8
сильно,1295,308.3
входить,1293,307.9
война,1291,307.4
ночь,1290,307.1
никакой,1289,306.9
оставлять,1288,306.7
следующий,1285,306
живой,1270,302.4
интересный,1262,300.5
необходимый,1258,299.5
состояние,1257,299.3
масло,1249,297.4
напоминать,1248,297.1
приводить,1247,296.9
цель,1246,296.7
целый,1237,294.5
корабль,1233,293.6
расти,1233,293.6
возможно,1232,293.3
удаваться,1225,291.7
северный,1224,291.4
выполнять,1220,290.5
стена,1219,290.2
чувствовать,1216,289.5
означать,1215,289.3
нравиться,1212,288.6
постоянно,1212,288.6
поздно,1210,288.1
из-за,1210,288.1
собака,1209,287.9
н,1203,286.4
долго,1193,284
готовый,1192,283.8
действие,1192,283.8
мелкий,1191,283.6
помнить,1191,283.6
палец,1187,282.6
условие,1186,282.4
обращать,1179,280.7
вполне,1178,280.5
использоваться,1177,280.2
какой-нибудь,1177,280.2
гость,1172,279
е,1171,278.8
семья,1171,278.8
кровь,1171,278.8
спрашивать,1165,277.4
сложный,1164,277.1
улица,1163,276.9
ходить,1162,276.7
процесс,1160,276.2
кто-то,1160,276.2
зеленый,1159,276
огонь,1156,275.2
обычный,1154,274.8
дорога,1154,274.8
попробовать,1149,273.6
точно,1148,273.3
иной,1140,271.4
поставлять,1140,271.4
положение,1139,271.2
обнаруживать,1138,271
царь,1138,271
теплый,1133,269.8
уметь,1133,269.8
океан,1131,269.3
определять,1129,268.8
всякий,1129,268.8
линия,1126,268.1
действительно,1121,266.9
наносить,1117,266
лед,1116,265.7
отличаться,1114,265.2
сидеть,1114,265.2
совет,1113,265
трудно,1111,264.5
звезда,1109,264
внешний,1109,264
играть,1107,263.6
образовываться,1106,263.3
бояться,1106,263.3
подниматься,1103,262.6
европа,1102,262.4
множество,1100,261.9
случаться,1100,261.9
машина,1098,261.4
момент,1097,261.2
желание,1097,261.2
внутренний,1094,260.5
построить,1093,260.2
четыре,1093,260.2
совершать,1093,260.2
предлагать,1091,259.8
приносить,1090,259.5
планета,1088,259
двигаться,1086,258.6
сколько,1086,258.6
народ,1086,258.6
добавлять,1079,256.9
деньги,1077,256.4
лес,1076,256.2
уходить,1075,256
сегодня,1073,255.5
любимый,1072,255.2
хотеться,1070,254.8
центр,1068,254.3
многие,1068,254.3
искусство,1065,253.6
поведение,1063,253.1
наиболее,1063,253.1
мужчина,1062,252.9
научаться,1059,252.1
д,1059,252.1
масса,1058,251.9
пытаться,1056,251.4
близкий,1056,251.4
прекрасный,1052,250.5
посмотреть,1047,249.3
превращаться,1047,249.3
ваш,1046,249
развитие,1044,248.6
душа,1044,248.6
продолжать,1041,247.9
красота,1041,247.9
точка,1039,247.4
равный,1035,246.4
гораздо,1031,245.5
примерно,1030,245.2
наконец,1030,245.2
покрывать,1029,245
зуб,1027,244.5
король,1026,244.3
собираться,1026,244.3
класс,1025,244
собирать,1022,243.3
устраивать,1020,242.9
занимать,1019,242.6
главное,1018,242.4
южный,1017,242.1
английский,1016,241.9
холодный,1014,241.4
парень,1012,241
поступать,1010,240.5
иначе,1009,240.2
подумать,1005,239.3
пример,1003,238.8
ответ,1003,238.8
остальной,1002,238.6
некоторые,997,237.4
человеческий,997,237.4
зависеть,996,237.1
необходимо,994,236.7
комната,994,236.7
менее,991,236
поскольку,990,235.7
служить,990,235.7
месяц,988,235.2
пол,987,235
пара,987,235
написать,987,235
мысль,986,234.8
разговор,984,234.3
всего,974,231.9
упражнение,973,231.7
подымать,973,231.7
километр,972,231.4
постепенно,971,231.2
лежать,971,231.2
яркий,967,230.2
фигура,965,229.8
верхний,964,229.5
период,964,229.5
мера,961,228.8
взгляд,960,228.6
пять,960,228.6
придумывать,958,228.1
отец,958,228.1
праздник,957,227.9
скорость,956,227.6
глава,954,227.1
обладать,953,226.9
широкий,953,226.9
змея,952,226.7
газ,952,226.7
основа,951,226.4
болезнь,950,226.2
третий,950,226.2
может,949,226
писать,948,225.7
надевать,948,225.7
рисунок,947,225.5
мода,945,225
снова,943,224.5
плохой,941,224
сухой,940,223.8
сон,939,223.6
постараться,939,223.6
л,938,223.3
смерть,938,223.3
знаменитый,936,222.9
знакомый,933,222.1
короткий,932,221.9
способность,929,221.2
располагать,928,221
украшать,928,221
петр,927,220.7
материал,927,220.7
насекомое,925,220.2
соль,922,219.5
известно,919,218.8
солнечный,918,218.6
заставлять,918,218.6
вечер,917,218.3
небо,912,217.1
легкий,908,216.2
кстати,907,216
молоко,906,215.7
причем,905,215.5
самолет,903,215
труд,902,214.8
связывать,898,213.8
характер,893,212.6
сын,893,212.6
куда,893,212.6
учиться,891,212.1
неделя,891,212.1
требовать,890,211.9
девчонка,889,211.7
плохо,887,211.2
гриб,887,211.2
мнение,886,211
полезный,883,210.2
зима,878,209
вдруг,878,209
направление,877,208.8
край,875,208.3
рабочий,873,207.9
чистый,872,207.6
ребята,871,207.4
закон,871,207.4
окружать,870,207.1
прямой,868,206.7
продукт,868,206.7
вместо,865,206
есть,865,206
образовывать,862,205.2
мягкий,861,205
тяжелый,861,205
отправляться,861,205
ждать,861,205
америка,860,204.8
практически,859,204.5
рядом,859,204.5
расстояние,858,204.3
орган,854,203.3
благодаря,854,203.3
горячий,853,203.1
вкус,853,203.1
встречать,850,202.4
мать,848,201.9
средний,848,201.9
утро,848,201.9
больше,845,201.2
роль,843,200.7
существо,840,200
содержать,839,199.8
звук,838,199.5
устанавливать,837,199.3
рост,837,199.3
обращаться,836,199
лето,836,199
платье,835,198.8
должно,834,198.6
правый,832,198.1
наверное,831,197.9
брать,831,197.9
половина,830,197.6
дно,830,197.6
брат,829,197.4
правильно,829,197.4
держать,829,197.4
прямо,827,196.9
учитель,826,196.7
музыка,825,196.4
спина,824,196.2
право,822,195.7
б,821,195.5
настолько,820,195.2
пусть,818,194.8
москва,818,194.8
рыцарь,817,194.5
миллион,816,194.3
производить,816,194.3
общение,815,194
про,813,193.6
вариант,811,193.1
компания,810,192.9
святой,809,192.6
тепло,806,191.9
горный,805,191.7
судно,804,191.4
защищать,803,191.2
порядок,803,191.2
недостаток,803,191.2
идея,802,191
земной,802,191
император,802,191
род,802,191
карта,802,191
оба,801,190.7
внутри,801,190.7
умирать,799,190.2
сердце,797,189.8
наоборот,797,189.8
нос,797,189.8
почва,796,189.5
знак,795,189.3
единственный,793,188.8
против,792,188.6
отдельный,792,188.6
опыт,789,187.9
объяснять,788,187.6
читать,787,187.4
больший,783,186.4
задача,781,186
церковь,780,185.7
враг,780,185.7
слышать,780,185.7
ложка,778,185.2
искать,778,185.2
придавать,778,185.2
полностью,777,185
район,776,184.8
наука,776,184.8
заболевание,774,184.3
военный,774,184.3
волна,774,184.3
бактерия,769,183.1
бумага,767,182.6
кошка,766,182.4
вернуться,765,182.1
маска,764,181.9
занятие,764,181.9
значение,764,181.9
костюм,762,181.4
событие,761,181.2
сохранять,759,180.7
наверняка,757,180.2
французский,757,180.2
песок,756,180
вовсе,755,179.8
вперед,754,179.5
темный,754,179.5
круг,753,179.3
п,751,178.8
поговорить,750,178.6
нижний,749,178.3
энергия,747,177.9
знание,747,177.9
украшение,747,177.9
порода,746,177.6
храм,746,177.6
мясо,746,177.6
здоровье,745,177.4
очередь,743,176.9
долгий,742,176.7
решение,741,176.4
хвост,741,176.4
корень,741,176.4
прическа,738,175.7
успех,738,175.7
снимать,738,175.7
ящерица,736,175.2
все-таки,735,175
сохраняться,734,174.8
сей,732,174.3
впервые,731,174
дух,730,173.8
высоко,730,173.8
крыло,729,173.6
речь,729,173.6
действовать,727,173.1
убивать,722,171.9
самка,722,171.9
блюдо,720,171.4
глубина,720,171.4
юбка,717,170.7
приобретать,717,170.7
домашний,717,170.7
вскоре,716,170.5
повторять,715,170.2
каменный,715,170.2
врач,713,169.8
ряд,713,169.8
сотня,712,169.5
луч,710,169
житель,709,168.8
вес,708,168.6
запах,708,168.6
озеро,707,168.3
свободный,706,168.1
вершина,705,167.9
папа,704,167.6
переходить,704,167.6
уровень,702,167.1
картина,701,166.9
страх,700,166.7
вверх,700,166.7
бабушка,699,166.4
поле,699,166.4
интерес,699,166.4
давно,697,166
немой,694,165.2
элемент,694,165.2
изучать,693,165
состав,693,165
плечо,692,164.8
сок,692,164.8
значить,691,164.5
выбор,690,164.3
подарок,690,164.3
создание,690,164.3
область,689,164
изменение,687,163.6
середина,686,163.3
твердый,686,163.3
итак,683,162.6
хлеб,683,162.6
губа,683,162.6
отказываться,682,162.4
повод,680,161.9
хозяин,678,161.4
особенность,677,161.2
чуть,676,161
дождь,676,161
здание,675,160.7
развиваться,675,160.7
обувь,673,160.2
шаг,672,160
кусочек,671,159.8
борьба,668,159
снег,667,158.8
рис,666,158.6
страшный,665,158.3
представление,664,158.1
дворец,663,157.9
герой,662,157.6
территория,659,156.9
театр,659,156.9
настроение,659,156.9
глубокий,659,156.9
одновременно,658,156.7
бросать,658,156.7
дома,658,156.7
информация,657,156.4
источник,657,156.4
англия,657,156.4
иметься,657,156.4
золотой,657,156.4
урок,656,156.2
низкий,656,156.2
металл,656,156.2
самец,655,156
вспомнить,653,155.5
добиваться,653,155.5
распространять,653,155.5
появление,652,155.2
верить,651,155
пустыня,651,155
богатый,651,155
власть,650,154.8
общество,650,154.8
будто,650,154.8
избегать,649,154.5
ухо,647,154
опять,647,154
редко,647,154
что-нибудь,646,153.8
вставать,646,153.8
см,644,153.3
голос,644,153.3
американский,643,153.1
луна,642,152.9
стремиться,642,152.9
удовольствие,642,152.9
либо,641,152.6
государство,639,152.1
старший,639,152.1
питаться,639,152.1
трава,639,152.1
нормальный,638,151.9
свежий,638,151.9
касаться,638,151.9
рот,638,151.9
золото,637,151.7
разбираться,637,151.7
желтый,636,151.4
малый,635,151.2
опасность,632,150.5
близко,632,150.5
жертва,631,150.2
животный,631,150.2
рождение,631,150.2
строить,630,150
многое,629,149.8
данный,628,149.5
связь,627,149.3
хоть,626,149
постоянный,624,148.6
семя,623,148.3
половой,622,148.1
площадь,622,148.1
угол,622,148.1
жидкость,620,147.6
рождаться,620,147.6
окно,618,147.1
деревянный,618,147.1
женский,617,146.9
серьезный,617,146.9
поход,617,146.9
несмотря,617,146.9
окружающий,616,146.7
падать,616,146.7
общаться,614,146.2
водоросль,614,146.2
князь,613,146
ход,611,145.5
шар,610,145.2
испытывать,609,145
явление,609,145
спортивный,608,144.8
прекрасно,608,144.8
двор,607,144.5
выход,607,144.5
крем,606,144.3
буква,606,144.3
зрение,606,144.3
закрывать,606,144.3
готовить,602,143.3
будущее,601,143.1
железо,601,143.1
возможный,601,143.1
впрочем,601,143.1
спать,601,143.1
зверь,601,143.1
успевать,600,142.9
изменять,600,142.9
метод,599,142.6
зато,595,141.7
садиться,595,141.7
смысл,595,141.7
р,594,141.4
толстый,594,141.4
привлекать,593,141.2
левый,592,141
выделять,592,141
кость,592,141
встреча,591,140.7
изобретать,591,140.7
добыча,590,140.5
широко,590,140.5
опасный,589,140.2
открытый,589,140.2
мозг,588,140
проявлять,588,140
погибать,588,140
правильный,588,140
узкий,588,140
принцип,588,140
туда,588,140
оттенок,587,139.8
стекло,587,139.8
изображение,587,139.8
передавать,586,139.5
весьма,586,139.5
мышца,582,138.6
давление,582,138.6
полет,582,138.6
изменяться,582,138.6
купить,581,138.3
признак,581,138.3
наблюдать,581,138.3
иисус,579,137.9
однажды,579,137.9
участок,579,137.9
воздушный,579,137.9
инструмент,579,137.9
медленно,578,137.6
впечатление,578,137.6
добрый,578,137.6
приятный,577,137.4
художник,574,136.7
доходить,574,136.7
приготавливать,573,136.4
деталь,572,136.2
оболочка,572,136.2
следить,572,136.2
связанный,571,136
боль,571,136
образование,570,135.7
поддерживать,570,135.7
пчела,569,135.5
ставить,569,135.5
тема,568,135.2
слабый,567,135
пятно,567,135
естественный,565,134.5
наступать,565,134.5
войско,564,134.3
вниз,564,134.3
кислород,563,134
стакан,561,133.6
счет,561,133.6
александр,560,133.3
интересно,560,133.3
отличие,560,133.3
проникать,560,133.3
